 order_id  order_profit
    11973          3980
    62239           985
    85794           -30
    33684          1980
    25824           975
    87044           735
    58598          1590
     5430          1120
    60502          1725
    96473             0
    64013           925
    59105           175
    85535           175
    24928           640
     2751           -40
    35995           430
    80252          1865
    27443           190
     1391           490
    83474          1775
    84471           940
    96799           890
    99324          1590
    85787           960
    28774          4425
    68707           450
    99220          1075
    59930           400
    70074          2070
    12715          1755
    63213             0
    32313          3410
    65113           470
    56905          1980
    14742          1240
    16240          1980
    79318           970
    20914          1960
    42314           555
    68783           585
    47954          2940
    83618             0
    57775           370
    66474          4160
    72097          1350
    74454          4060
    14350          3030
     4035          4125
    67495           980
    49616          2910
    83887          1330
    50030          3510
     2558           355
    82378           195
    88503          3180
    17339          1740
     2108           200
    48000          1370
     2091          1300
    35330          1905
    89159           260
    22103          1340
    64670          3250
    52587          2490
    88114           775
    72357          4050
    82545           925
    59590          2925
    20814           955
    32918          2645
    33899           980
    72309           995
    98423          1170
    28543           925
    64068           140
    75938          1280
    47230           425
    64268           985
    65559           780
     6535          2325
    77850          3140
    76803           -15
    99246          1755
    96721           880
    88509          1440
    33780           600
    70216          1210
    26702           760
    83889          1070
    16012           850
    61521          1305
    15237           220
    20645           850
    70849           505
    36764           130
    28106           320
    98100          1590
    79293          1175
     2930           720
      124           705
