     warehouse_name                  product  quantity  profit  percent_profit_product_of_warehouse
             Мордор    ломтик июльского неба         3   17050                             7.741935
             Мордор          билет в Израиль         9   17050                            52.258065
             Мордор         статуэтка Ленина        10   17050                            11.143695
хутор близ Диканьки          билет в Израиль        10   37240                            26.450054
         отель Лето        зеленая пластинка        10   27050                             0.554529
             Мордор        зеленая пластинка        11   17050                             0.000000
         отель Лето автограф Стаса Барецкого         8   27050                            17.005545
         отель Лето         статуэтка Ленина        10   27050                             6.469501
         отель Лето                  плюмбус         9   27050                             7.486137
   остров невезения                  плюмбус        14   15610                            21.973094
         гиперборея                  плюмбус         9   38280                             5.407524
         гиперборея         статуэтка Ленина         9   38280                             4.231975
         гиперборея    ломтик июльского неба        13   38280                            14.602926
хутор близ Диканьки                  плюмбус        27   37240                            17.038131
хутор близ Диканьки        зеленая пластинка        21   37240                             0.281955
хутор близ Диканьки   подписка на suppi-блог        10   37240                             3.625134
хутор близ Диканьки         статуэтка Ленина        21   37240                            10.432331
         гиперборея        зеленая пластинка        10   38280                             0.261233
   остров невезения         статуэтка Ленина        18   15610                            22.485586
   остров невезения    ломтик июльского неба        10   15610                            28.507367
хутор близ Диканьки    ломтик июльского неба         7   37240                             8.176692
   остров невезения автограф Стаса Барецкого         2   15610                             7.623318
   остров невезения          билет в Израиль         3   15610                            19.122357
         отель Лето          билет в Израиль        15   27050                            54.066543
   остров невезения        зеленая пластинка         9   15610                             0.288277
хутор близ Диканьки автограф Стаса Барецкого        22   37240                            34.559613
             Мордор автограф Стаса Барецкого         4   17050                            13.841642
         гиперборея          билет в Израиль        21   38280                            53.761755
         гиперборея автограф Стаса Барецкого        12   38280                            18.181818
             Мордор   подписка на suppi-блог         8   17050                             6.568915
         гиперборея   подписка на suppi-блог        12   38280                             4.075235
         отель Лето    ломтик июльского неба         9   27050                            14.140481
             Мордор                  плюмбус         6   17050                             8.445748
         отель Лето   подписка на suppi-блог         3   27050                             1.386322
