     warehouse_name                  product  quantity  profit  percent_profit_product_of_warehouse  accumulated_percent_profit_product_of_warehouse
             Мордор        зеленая пластинка        11   17050                             0.000000                                         0.000000
         гиперборея        зеленая пластинка        10   38280                             0.261233                                         0.261233
хутор близ Диканьки        зеленая пластинка        21   37240                             0.281955                                         0.543188
   остров невезения        зеленая пластинка         9   15610                             0.288277                                         0.831465
         отель Лето        зеленая пластинка        10   27050                             0.554529                                         1.385993
         отель Лето   подписка на suppi-блог         3   27050                             1.386322                                         2.772315
хутор близ Диканьки   подписка на suppi-блог        10   37240                             3.625134                                         6.397449
         гиперборея   подписка на suppi-блог        12   38280                             4.075235                                        10.472684
         гиперборея         статуэтка Ленина         9   38280                             4.231975                                        14.704659
         гиперборея                  плюмбус         9   38280                             5.407524                                        20.112183
         отель Лето         статуэтка Ленина        10   27050                             6.469501                                        26.581684
             Мордор   подписка на suppi-блог         8   17050                             6.568915                                        33.150599
         отель Лето                  плюмбус         9   27050                             7.486137                                        40.636735
   остров невезения автограф Стаса Барецкого         2   15610                             7.623318                                        48.260054
             Мордор    ломтик июльского неба         3   17050                             7.741935                                        56.001989
хутор близ Диканьки    ломтик июльского неба         7   37240                             8.176692                                        64.178681
             Мордор                  плюмбус         6   17050                             8.445748                                        72.624429
хутор близ Диканьки         статуэтка Ленина        21   37240                            10.432331                                        83.056760
             Мордор         статуэтка Ленина        10   17050                            11.143695                                        94.200455
             Мордор автограф Стаса Барецкого         4   17050                            13.841642                                       108.042097
         отель Лето    ломтик июльского неба         9   27050                            14.140481                                       122.182577
         гиперборея    ломтик июльского неба        13   38280                            14.602926                                       136.785503
         отель Лето автограф Стаса Барецкого         8   27050                            17.005545                                       153.791049
хутор близ Диканьки                  плюмбус        27   37240                            17.038131                                       170.829180
         гиперборея автограф Стаса Барецкого        12   38280                            18.181818                                       189.010998
   остров невезения          билет в Израиль         3   15610                            19.122357                                       208.133355
   остров невезения                  плюмбус        14   15610                            21.973094                                       230.106449
   остров невезения         статуэтка Ленина        18   15610                            22.485586                                       252.592036
хутор близ Диканьки          билет в Израиль        10   37240                            26.450054                                       279.042089
   остров невезения    ломтик июльского неба        10   15610                            28.507367                                       307.549456
хутор близ Диканьки автограф Стаса Барецкого        22   37240                            34.559613                                       342.109070
             Мордор          билет в Израиль         9   17050                            52.258065                                       394.367134
         гиперборея          билет в Израиль        21   38280                            53.761755                                       448.128890
         отель Лето          билет в Израиль        15   27050                            54.066543                                       502.195433
